"","treatment","cohort","cancer_type","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","cancer","group_solid","5.25773163511196","4.52490012173218","5.99056314849175","4.82373483633407e-30","3190"
"2","mech_vent","cancer","group_hematological","4.27011368891849","3.2255328480645","5.31469452977249","8.46889966268863e-10","1573"
"3","mech_vent","cancer","group_metastasized","4.29993859116736","3.67567121526269","4.92420596707202","3.74008773945635e-25","2020"
"4","rrt","cancer","group_solid","7.5117824687551","5.47606583040046","9.54749910710974","3.62017187750914e-10","3190"
"5","rrt","cancer","group_hematological","4.40044245501891","2.90263485286241","5.89825005717541","8.5970882820666e-06","1573"
"6","rrt","cancer","group_metastasized","5.18034003004415","3.84134129645464","6.51933876363365","9.41056425798589e-10","2020"
"7","vasopressor","cancer","group_solid","2.89038440737937","2.24837465098061","3.53239416377812","7.87186426174569e-09","3190"
"8","vasopressor","cancer","group_hematological","1.74142604448581","0.805005910336884","2.67784617863475","0.120695189544607","1573"
"9","vasopressor","cancer","group_metastasized","2.73671088147215","2.18549289995629","3.28792886298802","6.60251202774319e-10","2020"
